"PLAN","SPECIES","89B","90B","91B","92B","93B","94B","95B","96B","97B","98B","99B","100B","101B","102B","103B","104B","105B","106B","107B","108B","109B","110B","111B","112B","113B","114B","115B","116B","117B","118B","119B","120B","121B","122B","123B","124B","125B","126B"
"flscO","hypcum",2,1,-2,-2,-2,3,1,-2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2 
"smalR","isomed",3,3,-2,-2,-2,2,3,2,1,-2,-2,3,3,3,-2,-2,-2,-2,-2,2,2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"beacO","jacrec",2,2,-2,-2,-2,1,2,1,1,1,-2,3,-2,3,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2 
"oahpO","labcyr",2,2,-2,-2,-2,2,2,1,1,-2,-2,3,3,-2,-2,-2,-2,-2,3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"pinkO","lamabr",2,2,-2,-2,-2,2,2,2,2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2,2,-2,-2,-2 
"snakO","lanxsp",3,1,-2,-2,-2,2,-2,-2,1,2,-2,3,1,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"caroO","lasdec",2,2,-2,-2,-2,-2,-2,2,2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"praiO","leslep",2,2,-2,-2,-2,-2,-2,2,1,-2,-2,3,3,3,-2,2,-2,-2,3,2,3,2,2,-2,-2,-2,2,2,2,-2,-2,-2,-2,-2,2,3,2,-2 
"flscR","liaohl",2,2,-2,-2,-2,2,4,4,2,2,-2,-2,2,-2,-2,-2,-2,-2,2,4,4,-2,-2,-2,-2,4,4,4,-2,-2,-2,-2,-2,-2,-2,-2,4,-2 
"kaupO","lipfau",2,2,-2,-2,-2,2,2,2,2,2,-2,3,3,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2 
"oahpO","loboah",2,-2,-2,-2,-2,2,-2,3,3,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2 
"flscR","lupari",2,2,-2,-2,-2,2,2,2,2,2,-2,2,-1,-2,-2,-2,-2,-2,2,-2,2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2 
"lotiO","lycarg",1,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"roleO","lysasp",2,2,-2,-2,-2,2,2,1,1,2,-2,-2,1,-2,-2,-2,-2,-2,-2,2,3,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,-2,2,-2 
"apalO","macalb",2,-2,-2,-2,-2,2,2,-2,2,-2,-2,3,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,7,-2 
"mohrO","marmoh",2,-2,-2,-2,-2,-2,-2,2,6,-2,-2,3,3,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2 
"kaupO","melpal",2,2,-2,-2,-2,-2,-2,6,6,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","melsai",2,2,-2,-2,-2,2,2,2,2,2,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"armaO","miccal",2,3,3,3,-2,3,3,-2,1,2,-2,2,2,2,2,-2,-2,-2,3,2,2,2,2,2,-2,-2,-2,-2,-2,-2,3,2,2,-2,2,2,2,-2 
"hualO","micmex",2,2,-2,-2,-2,2,2,2,3,2,-2,-2,2,2,-2,2,-2,-2,-2,2,3,-2,-2,-2,2,-2,-2,-2,2,-2,-2,-2,2,-2,2,2,2,2 
"blacR","musnig",3,2,-2,-2,-2,-2,2,2,2,3,-2,3,-2,3,-2,3,5,-2,3,2,3,3,-2,-2,-2,3,3,-2,-2,-2,2,3,3,3,3,-2,-2,-2 
"kaufO","myapal",2,2,-2,-2,-2,2,2,2,3,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2,2,-2,-2 
"woodO","mycame",2,-2,2,3,-2,6,2,6,2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,7,2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,3,-2,7,-2 
"indiR","myosod",3,3,-2,3,2,2,2,-2,2,-2,-2,3,3,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,2,-2,2,-2,-2,-2,-2 
"oahpO","nothum",1,1,-2,-2,-2,-1,-2,-1,-1,-2,-2,2,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2 
"capeO","notmek",2,2,-2,-2,-2,2,2,2,2,2,-2,2,3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2 
"neosO","notpla",3,2,-2,-2,-2,2,2,2,1,2,-2,-2,2,2,3,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,2,2,-2,2,-2,2,-2 
"ringO","oboret",2,2,-2,-2,-2,2,2,2,2,-2,-2,-2,3,2,-2,-2,-2,-2,-2,2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,-2,-2,-2 
"keydR","odvicl",2,-2,-2,-2,-2,-2,2,1,1,-2,-2,3,-2,3,-2,3,-2,-2,3,-2,3,2,3,3,3,-2,-2,-2,-2,-2,-2,4,4,-2,4,-2,-2,-2 
"coluR","odvile",3,3,3,-2,-2,2,2,2,2,2,-2,3,3,3,2,3,-2,-2,-2,2,3,-2,3,-2,-2,4,-2,-2,3,2,-2,3,4,-2,3,2,2,-2 
"antiR","oendel",2,3,-2,-2,-2,2,2,-2,2,2,-2,3,2,2,-2,-2,-2,-2,2,2,2,2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2 
"arizR","oncapa",2,2,2,2,-2,2,2,2,2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,2,2,2,-2,-2,2,2,3,2,2,-2,-2,2,2,-2,2,2,-2,-2 
"grcuR","onccla",2,2,2,2,-2,-2,-2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2,2,-2,-2 
"gilaR","oncgil",4,2,-2,-2,-2,3,2,2,2,2,2,3,3,2,-2,-2,-2,-2,2,2,4,4,-2,-2,-2,2,-2,2,2,2,-2,2,2,-2,2,2,3,-2 
"nashR","orcsho",2,2,-2,-2,-2,2,-2,2,2,-2,-2,3,-2,-2,-2,-2,-2,-2,3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","parcha",2,3,-2,-2,-2,2,3,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2 
"mamoO","parfla",2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,2,-2,-2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2 
"bradO","pedbra",2,2,-2,-2,-2,2,-2,2,3,2,2,2,2,2,-2,-2,-2,-2,2,2,3,-2,-2,3,-1,-2,-2,-2,-2,-1,-2,-2,-2,-2,2,-2,-2,3 
"furbR","pedfur",2,3,-2,-2,-2,3,3,2,3,2,-2,3,3,3,2,2,3,-2,-2,2,2,2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2 
"prcrO","pellem",2,2,-2,-2,-2,-2,-2,1,1,-2,-2,3,3,3,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,3,-2,-2,-2,3,-2,-2,-2 
"anasO","perpol",2,3,-1,-1,-1,2,3,3,3,3,2,-1,3,3,-2,3,-1,-2,3,2,-1,2,3,3,3,-1,-1,-1,-1,-2,2,2,2,2,2,2,2,-2 
"snaiR","pertan",2,2,-2,-2,-2,2,-2,-2,2,2,-2,3,3,2,-2,2,-2,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,3,2,-2,-2,2,-2,-2,-2 
"lanaO","phygla",2,2,-2,-2,-2,2,2,2,2,-2,-2,2,2,2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,2,-2,-2,-2 
"biadO","phyrac",2,-2,-2,-2,-2,2,2,1,1,2,-2,3,3,2,-2,2,2,-2,2,2,-2,-2,-2,-2,-2,2,2,2,-2,-2,2,-2,-2,-2,2,2,2,-2 
"redcR","picbor",2,-2,3,3,-2,3,3,2,3,2,-2,3,3,2,-2,3,-2,-2,-2,7,3,-2,-2,-2,3,2,-2,-2,2,-2,2,2,2,2,2,-2,2,-2 
"ropiO","pleple",2,2,-2,-2,-2,2,-2,2,1,2,-2,-2,2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,-2,-2,-2 
"shenO","pleshe",1,1,2,-1,-2,2,2,2,1,2,-2,-2,2,2,2,-2,-2,-2,3,2,3,3,-2,3,2,2,2,-2,2,-2,2,2,2,-2,2,2,2,-2 
"fishR","poeocc",2,2,-2,-2,-2,2,2,2,-2,-2,-2,-2,-2,2,2,3,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"cavpO","pognud",2,1,-2,-2,-2,2,2,2,1,2,-2,-2,3,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,2,2,2,-2 
"flscR","polbas",2,2,-2,-2,-2,3,3,2,2,3,-2,2,1,3,-1,-2,-2,-2,2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2 
"fatpR","potcap",2,2,-2,-2,-2,-2,-2,2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"littO","potcly",2,3,-2,-2,-2,2,2,2,2,-2,-2,2,3,2,-2,-2,-2,-2,-2,2,2,-1,-1,-1,-2,2,2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2 
"flscR","prugen",2,2,-2,-2,-2,-2,2,-2,2,-2,-2,3,-2,2,-2,-2,3,-2,2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2 
"guamO","ptemar",2,2,3,3,-2,2,2,2,3,-2,-2,3,-2,3,-2,-2,-2,-2,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2,2,2,-2,-2 
"harpO","ptinod",2,3,-2,-2,-2,3,-2,6,6,-2,2,3,3,3,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,4,4,4,-2,-2,-1,-2,-2,-2,2,-2,3,-2 
"coloR","ptyluc",2,2,2,2,2,2,2,1,1,3,-2,-2,3,2,-2,-2,-2,-2,-2,3,-2,4,-2,-2,3,-2,-2,-2,-2,-2,3,2,3,-2,3,3,3,-2 
"flopR","pumcon",2,1,-2,-2,-2,2,2,1,1,-2,-2,3,-2,2,-2,-2,-1,-2,-2,2,3,3,-2,-2,-2,3,2,-2,-2,3,-2,2,3,-2,2,-2,-2,-2 
"alamO","pyrneo",2,3,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,-2,-2 
"tombO","quasta",2,2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,2,2,-2,-2,-2,3,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2 
"saltO","raloob",2,2,2,2,-2,2,3,2,3,2,-2,3,2,2,2,2,-2,-3,-2,-2,3,-2,-2,-2,2,-2,-2,-2,2,-2,2,2,2,2,2,-2,2,-2 
"yumaO","raloyu",2,-2,-2,-2,-2,2,2,2,2,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2,-2,2,-2 
"selkR","rantar",2,2,2,2,2,2,-2,2,2,-2,-2,3,2,3,-2,3,-2,-2,3,3,3,3,3,3,-2,2,-2,-2,-2,-2,2,2,2,-2,2,2,2,-2 
"kendO","rhiosc",2,3,-2,-2,-2,2,3,3,3,3,-2,3,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"chapO","rhocha",2,2,-2,-2,-2,2,2,2,1,1,-2,3,2,2,-2,2,-2,-2,2,2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2 
"everR","rossoc",2,2,2,2,-2,2,2,1,1,-2,-2,3,-2,2,-2,3,-2,-2,-2,2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2,2,2,2,-2 
"grpiR","sarore",2,2,-2,-2,-2,2,2,2,2,2,-2,3,-2,3,3,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,3,-2,-2,-2,-1,-1,-2,-2 
"pallO","scaalb",3,-2,2,2,2,3,3,3,3,2,-2,2,-2,3,-2,2,-2,-2,2,7,3,3,-2,-2,3,-2,-2,-2,2,2,2,2,-2,-2,2,2,2,2 
"maplO","schhal",2,3,-2,-2,-2,-2,-2,-2,2,-2,-2,3,-2,2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,2,-2,-2,-2,2,-2,2,-2 
"oahpO","schkaa",2,2,-2,-2,-2,2,-2,2,2,-2,2,2,-2,-2,-2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,2,2,2,-2,-2,-2,3,-2,-2,2,2,-2,2 
"oahpO","schkea",2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,3,3,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2 
"kaupO","schspe",3,3,-2,-2,-2,-2,-2,2,2,-2,-2,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"delmR","scinig",2,2,2,2,-2,2,3,1,1,2,3,3,3,2,2,2,-2,-2,-2,2,3,-2,-2,-2,-2,2,2,2,-2,-2,2,-2,2,-2,2,2,2,-2 
"enruO","soldry",2,2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,2,2,2,2,2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,2,2,2,-2 
"hougO","solhou",2,6,-2,-2,-2,2,2,2,3,6,-2,-2,6,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,2,3,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,2 
"alabR","spepou",2,-1,-1,-1,-1,-1,-1,2,1,-1,-1,2,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,2,-1,2,-1,-1,-1,-1,-1 
"caleO","steant",2,2,2,2,-1,2,2,1,1,-2,-2,3,3,3,-2,3,-2,-2,3,-1,3,3,3,3,-2,-2,-2,-2,-2,-2,-1,2,2,-2,2,-2,2,-2 
"kaupO","stecam",3,3,-2,-2,-2,2,3,2,2,-2,-2,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"mexiO","strocc",1,1,1,1,1,6,6,3,1,6,-2,-2,1,5,4,5,-2,-2,4,-2,3,3,3,3,-2,3,3,3,3,-2,5,5,5,-2,4,2,5,-2 
"loweO","sylpal",2,2,2,2,-2,2,2,2,2,2,-2,2,2,2,-2,3,2,-2,2,2,2,2,2,2,-2,-2,-2,-2,2,-2,2,2,2,-2,2,-2,-2,-2 
"lanaO","tetrem",2,1,-2,-2,-2,2,2,2,1,-2,-2,3,3,3,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,2,-2,-2,-2,-2,2,-2,-2,-2 
"karsO","texred",2,1,-2,-2,-2,2,2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2 
"coolO","thacoo",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-2,-2,3,3,3,3 
"pedaO","theste",2,2,-2,-2,-2,2,3,-2,1,1,-2,3,3,3,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,2,-2,-2,-2,2,-2,-2,-2 
"soccO","thethe",2,2,-2,-2,-2,-2,-2,2,2,-2,-2,3,-2,-2,-2,3,-2,-2,-2,-2,3,3,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"prfeO","theyau",2,1,-2,-2,-2,-2,-2,-2,2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"westR","triman",2,2,-2,-2,-2,-2,-2,6,6,-2,2,3,-2,3,-2,-2,-2,3,-2,2,2,2,-2,-2,3,-2,-2,-2,-2,-2,-2,2,2,2,-2,-2,-2,-2 
"bariO","tritri",2,2,-2,-2,-2,2,2,2,2,-2,-2,3,3,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"attwR","tymcup",6,6,2,2,-2,2,3,6,2,2,-2,3,1,2,-2,-2,-2,-2,-2,2,3,-2,3,-2,-2,-2,-2,-2,2,-2,2,2,2,-2,2,2,2,-2 
"grizR","ursarc",2,2,-2,-2,-2,2,2,2,2,2,-2,4,3,2,3,4,4,-2,3,2,2,2,-2,2,2,2,2,2,2,-2,2,2,2,2,-2,2,-2,-2 
"flscR","warcar",2,2,-2,-2,-2,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,3,2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,-2 
"cachO","xanriv",3,1,-2,-2,-2,-2,-2,-2,1,-2,-2,3,-2,-2,3,6,-2,-2,6,6,6,6,6,6,6,-2,-2,-2,-2,-2,-2,-2,3,-2,2,-2,-2,-2 
"flscR","zizcel",6,2,-2,-2,-2,2,2,1,1,2,-2,2,-2,-2,-2,-2,4,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2 
"edwaR","ziztex",2,2,-2,-2,-2,6,-2,4,4,2,-2,-2,-2,3,-2,-2,-2,-2,-2,7,7,-2,-2,-2,-2,-2,-2,-2,-2,7,-2,-2,-2,-2,7,-2,-2,-2 
