"PLAN","SPECIES","405III","406III","407III","408III","409III","410III","411III","412III","413III","414III","415III","416III","417III","418III","419III","420III"
"largO","abrmac",-2,6,6,-2,-2,6,6,6,-2,-2,6,-2,-2,-2,-2,6 
"lanaO","abuere",-1,-1,-1,-2,-2,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2 
"oahpO","abusan",-2,6,6,-2,-2,-2,6,-2,-2,6,-2,-2,-2,-2,-2,-2 
"prraO","accstr",-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahtO","achlil",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nighO","acrlus",1,1,1,1,1,1,-2,-2,-2,2,-2,1,-2,-2,2,-2 
"sensO","aesvir",-1,-2,-2,-1,-2,-2,-1,-1,-1,-1,-2,-1,-2,-2,-1,-2 
"dwweO","alahet",3,3,3,3,3,2,3,3,3,3,-2,-2,2,3,2,-2 
"maplO","alemac",1,1,1,1,1,1,1,1,2,1,-2,-2,-2,3,1,-2 
"kauaO","alslyc",6,6,6,6,6,6,-1,-1,-1,-1,-1,-1,-2,-1,-2,-1 
"oahpO","alsobo",-2,6,6,-2,-2,-2,6,-2,-2,6,-2,-2,-2,-2,-2,-2 
"kauaO","alsvis",1,1,1,-2,-2,-2,1,-2,-2,1,1,-2,-2,1,-2,-2 
"prpaO","amavit",6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,6 
"ashmO","ambama",-2,-2,-2,1,-2,-2,-2,-2,1,1,-2,-2,1,-2,-2,-2 
"ozarR","ambros",-2,6,-2,1,1,6,1,-2,1,-2,-2,-2,1,-2,6,-2 
"sonoR","antame",-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"antiR","apomor",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"raveO","archoo",-1,-2,-2,-1,-2,-2,-1,-1,-1,-1,-1,-2,-2,-1,-1,-2 
"dwbeO","archum",-2,6,-2,6,-2,-2,-2,-2,-2,6,-2,-2,-2,-2,-2,-2 
"fourO","arcmor",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,6,-2,-2,6,6 
"maunO","argsan",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-2,-2 
"anthO","athant",-2,6,6,-2,6,6,-2,-2,6,6,6,-2,-2,-2,-2,-2 
"virgR","betube",1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","bongra",-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,-1,-1,-2,-2,-1,-2 
"aleuR","bracan",-1,-2,-2,-1,-2,-2,-2,-1,-1,-2,-2,-2,-2,-1,-1,-1 
"cavpO","brasan",-2,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","briins",-2,1,1,-2,-2,1,1,-2,-2,1,-2,-2,-2,1,1,-2 
"palmO","calriv",-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2 
"grayO","canlup",1,-2,-2,1,-2,-2,-2,1,-2,-1,-2,-1,-2,1,-2,-2 
"eastR","canlup",1,1,1,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2 
"redwR","canruf",5,5,5,5,-2,5,5,-2,-2,-2,-2,-2,-2,-2,-2,5 
"ashmO","cennam",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-2,-1 
"cuiuR","chacuj",3,-2,-2,3,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2 
"pineO","chagar",-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","charoc",-1,-1,-1,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2 
"flogO","chrflo",-2,6,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nortO","cicdor",-1,-2,-2,-1,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2 
"maskR","colvir",-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawcO","corhaw",-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2 
"amcrR","croacu",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"newmO","crowil",-2,-2,-2,-2,-2,-2,1,1,1,1,-2,-2,-2,-2,1,-2 
"sccyO","cupabr",-1,-1,-1,-1,-1,-2,-2,-1,-1,-1,-1,-2,-2,-2,-1,-2 
"moloO","cyaman",-2,6,6,-2,-2,6,-2,-2,-2,6,-2,-2,-2,-2,-2,6 
"biplO","cyashi",6,6,6,6,6,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","cypfor",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kauaO","cyrcya",6,6,6,6,6,6,-1,-1,-1,6,6,-2,-2,6,-2,-2 
"biplO","cyrgif",6,6,6,6,6,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","cyrvir",6,-2,-2,6,-2,-2,6,-2,-2,6,-2,-2,-2,-2,6,-2 
"kirtR","denkir",-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flomO","dicchr",3,-2,-2,-2,-2,-2,-2,3,3,3,-2,-2,-2,-2,3,-2 
"tennR","echten",-1,-1,-1,-2,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2 
"tarrR","ellste",-2,1,-2,-2,1,-2,1,1,-2,-2,1,-2,-2,-2,-2,-2 
"cavpO","eryari",-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"antiR","erycap",-2,-2,-2,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","erycun",-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-1,-2 
"seveO","erymen",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2 
"threO","eryter",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-2 
"slacO","ethbos",-2,-2,1,1,-2,-1,-2,1,1,1,-2,-2,-2,1,1,-2 
"edwaR","ethfon",1,-2,-2,1,-2,-2,1,-2,-2,-1,-2,-2,1,-2,-2,-2 
"wateR","ethnuc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"okalO","ethoka",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bayoR","ethrub",3,3,3,3,3,3,3,3,3,-2,-2,-2,-2,-2,-2,-2 
"maryR","ethsel",-2,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"elseO","eupbat",-2,1,-2,-2,-2,1,-2,1,1,-2,-2,-2,-2,-2,1,-2 
"edwaR","eurnan",1,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2 
"pereO","falper",3,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2 
"ampeO","falper",-2,-2,-2,-2,-2,-2,1,-1,-1,-1,-2,1,-2,1,1,1 
"hawwR","fulame",6,6,6,6,6,6,6,6,6,6,-1,6,6,6,6,-2 
"lanaO","gahlan",1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawwR","galchl",1,1,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","gamgeo",-1,-2,-2,-2,-2,-2,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1 
"hawgO","garbri",-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2 
"unarR","gasacu",-2,-1,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2 
"maplO","gerarb",6,6,6,6,-2,-2,-2,-2,6,-2,-2,-2,-2,-2,-2,-2 
"humpR","gilcyp",-2,-1,-2,-2,-2,-1,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2 
"bonyR","gilele",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1 
"chihO","gilnig",-2,6,-2,-2,-2,-2,-2,6,-2,-2,-2,-2,-2,-2,6,-2 
"fishR","gilpur",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"whooR","gruame",1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"missR","grucan",-1,-2,-2,-2,-2,-2,-2,-1,-1,-2,-1,-2,-2,-1,-2,-2 
"cacoR","gymcal",5,5,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"gnomO","gymlin",-2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,6,-2 
"todsO","hedtod",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","hesarb",-1,-1,-1,-2,-2,-2,-1,-2,-1,-1,-2,-2,-2,-2,-2,-2 
"moloO","hibarn",-2,-1,2,-2,-2,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-1 
"kaupO","hibcla",6,6,6,6,6,6,-2,-2,-2,-2,6,-2,-2,6,-2,-2 
"kauaO","hibwoo",1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2 
"hawwR","himmex",6,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-1,-2 
"flscO","hypcum",-2,-2,-2,-2,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,3,-2 
"smalR","isomed",1,1,1,1,1,1,1,1,1,1,1,-2,-2,1,1,-2 
"beacO","jacrec",-2,3,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","labcyr",-1,6,6,-1,-1,6,-1,-1,-1,6,-1,-1,-1,-1,-1,-1 
"pinkO","lamabr",-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-1,-2 
"snakO","lanxsp",-2,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"caroO","lasdec",-2,-1,-2,-2,-2,-2,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2 
"praiO","leslep",-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","liaohl",-2,1,-2,-2,1,-2,-2,-2,1,-2,-2,-2,-2,1,-2,-2 
"kaupO","lipfau",6,6,6,6,6,6,-2,-2,-2,-2,6,-2,-2,6,-2,-2 
"oahpO","loboah",-1,-1,-1,-1,-1,-1,-2,-2,-2,-1,-2,-2,-2,-1,-2,-2 
"flscR","lupari",-2,-2,-2,-2,-2,-2,-2,6,-2,-2,-2,-2,-2,-2,-2,6 
"lotiO","lycarg",-2,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"roleO","lysasp",-2,6,-2,-2,-2,6,-2,-2,-2,-2,-2,6,-2,-2,-2,-2 
"apalO","macalb",-2,6,-2,-2,6,-2,6,-2,-2,-2,-2,-2,-2,-2,6,-2 
"mohrO","marmoh",3,3,3,-2,-2,-2,2,2,2,-2,-2,-2,-2,-2,1,1 
"kaupO","melpal",1,1,1,1,1,1,1,-2,-2,1,-2,-2,-2,1,-2,-2 
"oahpO","melsai",1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"armaO","miccal",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hualO","micmex",-2,-1,-2,-2,-1,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2 
"blacR","musnig",5,5,5,-2,5,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,5 
"kaufO","myapal",-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"woodO","mycame",3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"indiR","myosod",-2,-1,-1,-2,-1,-1,-2,-1,-1,-1,-2,-2,-2,-2,-1,-2 
"oahpO","nothum",-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"capeO","notmek",-2,6,6,-2,-2,-2,-2,6,6,6,-2,-2,-2,-2,-2,-2 
"neosO","notpla",-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-1,-2 
"ringO","oboret",-1,-1,5,-1,-1,5,-1,-2,-1,-1,-2,-2,-2,-2,-2,-2 
"keydR","odvicl",4,-2,-2,4,-2,-2,4,4,4,4,4,-2,-2,-2,4,-2 
"coluR","odvile",5,6,5,6,6,6,-2,-2,-2,-2,-2,-2,-2,-2,6,-2 
"antiR","oendel",-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"arizR","oncapa",-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"grcuR","onccla",6,6,1,6,6,6,-2,6,6,6,6,-2,-2,-2,-2,-2 
"gilaR","oncgil",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nashR","orcsho",6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,6 
"flscR","parcha",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2 
"mamoO","parfla",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bradO","pedbra",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1 
"furbR","pedfur",1,6,6,1,6,6,6,6,6,6,-2,-2,6,-2,6,-2 
"prcrO","pellem",6,6,6,6,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"anasO","perpol",3,3,3,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snaiR","pertan",-2,1,1,1,-2,1,1,-2,-2,-2,-2,-2,-2,1,-2,1 
"lanaO","phygla",-2,6,6,-2,-2,6,-2,-2,-2,6,-2,-2,-2,-2,-2,6 
"biadO","phyrac",-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"redcR","picbor",-2,1,1,-2,-2,-2,1,-2,-2,-2,-2,6,-2,-2,-2,-2 
"ropiO","pleple",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"shenO","pleshe",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","poeocc",-2,-1,-2,-2,-2,-1,-2,-2,-1,-1,-1,-2,-1,-2,-2,-2 
"cavpO","pognud",-2,-2,-2,3,-2,3,-2,-2,2,-2,-2,-2,-2,-2,-2,-2 
"flscR","polbas",-2,1,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,1,-2 
"fatpR","potcap",-1,-1,-1,-1,-1,-2,-1,-1,-2,-2,-1,-2,-2,-1,-2,-2 
"littO","potcly",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","prugen",-1,-2,-2,-1,-2,-2,-2,-1,-1,-1,-2,-1,-2,-2,-1,-2 
"guamO","ptemar",-1,-1,-1,-1,2,-1,2,2,2,2,2,-2,-2,2,2,-2 
"harpO","ptinod",-2,1,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-1,-2 
"coloR","ptyluc",-2,-1,-2,-2,-2,-1,-2,-2,-2,-1,-2,-2,-2,-2,-1,-2 
"flopR","pumcon",-1,-2,-2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2 
"alamO","pyrneo",-2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,6 
"tombO","quasta",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"saltO","raloob",-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2 
"yumaO","raloyu",6,-2,-2,6,-2,-2,6,2,-2,-2,-2,6,-2,-2,6,-2 
"selkR","rantar",-2,-2,-2,-1,-2,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2 
"kendO","rhiosc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"chapO","rhocha",-2,-2,3,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"everR","rossoc",1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2 
"grpiR","sarore",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2 
"pallO","scaalb",-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-1,-1,-1 
"maplO","schhal",1,1,1,1,1,1,-1,1,1,-1,-1,-1,-2,-1,-1,-2 
"oahpO","schkaa",1,1,1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,1,-2 
"oahpO","schkea",6,6,6,6,6,6,-2,-2,-2,6,-2,-2,-2,-2,-2,6 
"kaupO","schspe",1,1,1,1,1,1,-1,-1,-1,1,1,-2,-2,1,1,-2 
"delmR","scinig",-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1 
"enruO","soldry",2,-2,-2,2,-2,-2,-1,-1,2,2,2,-1,-2,1,2,1 
"hougO","solhou",-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"alabR","spepou",3,-2,-2,-1,-2,-2,-1,4,4,2,-1,-1,-1,-1,2,-2 
"caleO","steant",1,1,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","stecam",1,1,1,1,1,1,-1,-1,-1,1,1,-2,-2,1,1,-2 
"mexiO","strocc",-2,-2,-2,5,-2,5,-2,4,4,1,-2,1,-2,-2,-2,-2 
"loweO","sylpal",5,5,5,-2,-2,-2,-1,1,1,-1,-1,-1,-2,-1,1,1 
"lanaO","tetrem",-2,6,6,-2,-2,6,6,-2,-2,6,-2,-2,-2,-2,-2,6 
"karsO","texred",-1,-2,-2,-1,-2,-2,1,1,-1,2,-1,-2,-1,-1,-1,-2 
"coolO","thacoo",3,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1 
"pedaO","theste",-2,-1,-2,-1,-1,-1,-1,-1,-2,-1,-2,-2,-2,-1,-2,-2 
"soccO","thethe",-2,6,-2,-2,-2,6,-2,-2,-2,6,-2,-2,6,-2,6,-2 
"prfeO","theyau",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,6,6 
"westR","triman",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bariO","tritri",1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"attwR","tymcup",-1,3,-2,-2,-2,-2,-2,6,6,-2,-2,-2,-2,-2,-1,-2 
"grizR","ursarc",-2,-2,3,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,3,-2,3 
"flscR","warcar",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1 
"cachO","xanriv",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","zizcel",1,1,1,1,1,1,1,1,1,1,-2,-2,-2,-2,1,-2 
"edwaR","ziztex",6,-2,-2,-2,-2,-2,1,1,1,1,-2,-2,6,-2,6,-2 
