"PLAN","SPECIES","173S","174S","175S","176S","177S","178S","179S","180S","181S","182S","183S","184S","185S","186S","187S","188S","189S","190S","191S","192S","193S","194S","195S","196S","197S","198S","199S","200S","201S","202S","203S","204S","205S","206S","207S","208S","209S","210S","211S","212S","213S","214S","215S","216S","217S","218S","219S","220S","221S","222S","223S","224S","225S","226S","227S","228S","229S","230S","231S"
"largO","abrmac",-1,-1,-2,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-1,-2,-2,-2,-1,-1,-1,-2,-1,-2,-1,-2,-1,-2,-2 
"lanaO","abuere",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,3,-2,3,-2,-2,-2,3,-2,-2,-2,-2 
"oahpO","abusan",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,1,1,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,2,2,2,2,-2,-2,-2,1,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2 
"prraO","accstr",-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,1,1,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,3,-2 
"oahtO","achlil",-2,-2,3,-2,-2,2,3,-2,-2,-2,-2,-2,-2,-1,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-1,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,3,-2,-2 
"nighO","acrlus",2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2 
"sensO","aesvir",3,3,-2,-2,3,3,-2,-2,-2,-2,-2,-2,2,3,3,-2,-2,-2,-2,3,3,2,3,-2,3,3,3,-2,-2,-2,-2,-2,-2,3,-2,-2,2,2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,3,-2,-2 
"dwweO","alahet",2,2,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-1,3,-2,-2,-2,-2,3,2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-1,-2,-2,-2,-2 
"maplO","alemac",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,3,-2,2,3,-2,-2,-2,-2,-2,-2,3,-2,3,-2,-2,2,3,-2,-2,3,-2 
"kauaO","alslyc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,2,-2 
"oahpO","alsobo",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,1,1,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kauaO","alsvis",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2 
"prpaO","amavit",-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,3,3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-2,-2,-1,-2,-1,3,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,-2 
"ashmO","ambama",-2,3,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,2,-2,-2,-2,3,-2 
"ozarR","ambros",-2,1,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,3,2,3,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,-2,3,-2,-2,-2,-2,-2,3,-2 
"sonoR","antame",-2,-1,-2,-2,2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-1,-2,-2,-2,-2,2,-2,3,-2,2,-2,-2 
"antiR","apomor",3,-2,-2,3,-2,3,-2,-2,3,-2,-2,-2,-2,-2,3,-2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2 
"raveO","archoo",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,3,-2 
"dwbeO","archum",-2,3,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,1,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fourO","arcmor",-2,3,-2,2,2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,2,-2,-2,3,-2 
"maunO","argsan",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,3,-2 
"anthO","athant",-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,2,3,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,3,2,3,3,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"virgR","betube",-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","bongra",3,3,-2,-2,2,-2,-2,-2,-2,3,-2,-2,3,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,2,-2,-2,-2,-2,-2,-2,-2,3 
"aleuR","bracan",-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,3,-2,-1,-2,-2,-2,-1,3,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-1,-1 
"cavpO","brasan",3,3,-2,3,3,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,3,-2,-2,-2,1,3,-2,-2,-2,2,-2,-2,-2,-1,-2,3,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-1,-2,2,2,3 
"kaupO","briins",-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-1,-2,-2,3,3,-2,-2,-2,-2,-2,3,-2,3,-2,-2,-2,3,-2,-2,3,3 
"palmO","calriv",-1,-1,-1,-1,3,-2,2,-2,2,-2,-2,-2,-1,3,3,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,2,-2,-2,-2,-2,-2,-2 
"grayO","canlup",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"eastR","canlup",-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,3,2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,3,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"redwR","canruf",-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"ashmO","cennam",3,3,-2,-2,3,-2,-2,3,-2,-2,-2,-2,-2,-2,3,-2,-1,-2,-2,-2,2,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2 
"cuiuR","chacuj",-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,3,-2,-2,2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,3,3,-2,2,-2,2,3,-2 
"pineO","chagar",3,3,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,3,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","charoc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flogO","chrflo",-2,3,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,-2,-1,-2,-1,-2,1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,3 
"nortO","cicdor",3,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"maskR","colvir",-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2 
"hawcO","corhaw",-2,-1,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,3,3,3,3,-2,-2,3,-2,-2,-2,-1,-2,2,-2,-2,-2,-2,-2,-2,-2,-2 
"amcrR","croacu",-2,3,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"newmO","crowil",-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-1,-2,3,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"sccyO","cupabr",2,2,2,-2,1,-2,-2,-2,-2,-2,-2,-2,1,3,-2,1,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,-2,-2,3,-2,-2,-2,3,-2,-2,3,-2 
"moloO","cyaman",-1,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-1,-2,-2,3,-2 
"biplO","cyashi",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,3,-2 
"fishR","cypfor",-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-1,-2,1,-2,-2,-2,-2,2,-2,2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,2,-1,-2,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,3,-2,-2 
"kauaO","cyrcya",-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-1,-2,-2,3,-2 
"biplO","cyrgif",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,3,-2 
"oahpO","cyrvir",-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kirtR","denkir",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2 
"flomO","dicchr",-2,3,3,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2 
"tennR","echten",-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,-2,-1,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,1,-2,-2,-2,-2,3,-2,-2,3,-2,-2,-2,-2,-2,3 
"tarrR","ellste",-2,-2,-2,-2,-1,-2,3,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,3,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,3,-2 
"cavpO","eryari",3,3,-2,3,3,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,3,-2,-2,3,-2,-2,-2,-2,-2,-2,3,3,2,-2,-2,-2,2,2,-2,-2,3,2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,3,2,-2 
"antiR","erycap",3,-2,-2,3,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,3,-2,3,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2 
"flscR","erycun",3,3,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2 
"seveO","erymen",-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-1,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"threO","eryter",-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,3,-2,-2,-2,-1,-1,-2 
"slacO","ethbos",3,3,3,3,-2,-2,-2,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,3,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
