"PLAN","SPECIES","347SS","348SS","349SS","350SS","351SS","352SS","353SS","354SS","355SS","356SS","357SS","358SS","359SS","360SS","361SS","362SS","363SS","364SS","365SS","366SS","367SS","368SS","369SS","370SS"
"smalR","isomed",1,1,1,1,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"beacO","jacrec",2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,2,-2,2,-2,2,2,2,2,-2 
"oahpO","labcyr",-2,1,1,1,1,-2,-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2 
"pinkO","lamabr",-1,-2,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snakO","lanxsp",-2,-2,-1,-2,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2 
"caroO","lasdec",-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-1,-2,-1,-2,-2 
"praiO","leslep",-1,-2,-1,-2,-2,-1,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","liaohl",-2,2,2,2,2,2,3,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,2,2,-2 
"kaupO","lipfau",2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","loboah",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-1,-1,-1,2,-2,2,2,2,2,-2 
"flscR","lupari",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2 
"lotiO","lycarg",-1,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2 
"roleO","lysasp",-2,2,2,-2,-2,-2,1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2 
"apalO","macalb",-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"mohrO","marmoh",-1,-1,2,-1,2,-1,3,3,3,-1,-2,2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-1 
"kaupO","melpal",1,1,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2 
"oahpO","melsai",2,2,2,2,2,2,2,2,2,-1,-2,-2,-2,-2,-2,2,-1,2,-1,-1,-1,-1,-1,-2 
"armaO","miccal",-2,1,1,1,1,1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2 
"hualO","micmex",-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-1,-2 
"blacR","musnig",-1,3,-2,-2,-2,3,3,3,-2,-1,3,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2 
"kaufO","myapal",-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"woodO","mycame",-1,-1,-1,-2,-2,-2,-1,-1,-1,1,-1,-2,-2,-1,-2,-2,-2,-2,-2,3,-2,-2,-2,-2 
"indiR","myosod",-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-2 
"oahpO","nothum",1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2 
"capeO","notmek",-2,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-2 
"neosO","notpla",-2,-1,-1,-1,-1,-1,-1,-2,-1,-2,-1,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-1,-2,-2 
"ringO","oboret",-2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2 
"keydR","odvicl",-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-1 
"coluR","odvile",2,2,2,-2,-2,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,-2,-2 
"antiR","oendel",-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"arizR","oncapa",-1,-2,-2,-1,-2,-2,-1,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2,-1,-2,-1,-2,-1,-2,-2 
"grcuR","onccla",-2,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2 
"gilaR","oncgil",-2,-2,2,-2,-2,-2,1,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2 
"nashR","orcsho",-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2 
"flscR","parcha",-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2 
"mamoO","parfla",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bradO","pedbra",-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"furbR","pedfur",-2,-1,-1,-2,-1,-1,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-2 
"prcrO","pellem",-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"anasO","perpol",1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snaiR","pertan",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2 
"lanaO","phygla",3,2,-2,-2,-2,3,-2,-2,3,-2,-2,-1,-1,-2,-2,-2,-2,-1,-1,-2,-2,-1,-2,-1 
"biadO","phyrac",-2,-1,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-2,-2 
"redcR","picbor",-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"ropiO","pleple",-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2 
"shenO","pleshe",3,3,3,3,3,3,3,-2,-2,-2,-1,3,-2,-2,-2,3,-2,3,-2,-2,-2,3,3,-2 
"fishR","poeocc",-2,1,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2 
"cavpO","pognud",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2 
"flscR","polbas",2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fatpR","potcap",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"littO","potcly",1,1,1,-2,-2,-2,1,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","prugen",-1,-1,-1,-2,-2,-1,-1,-1,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-1,-1,-2,-1,-2,-2 
"guamO","ptemar",2,2,2,2,2,-2,1,1,-2,1,1,-2,-2,-2,1,-2,-2,-1,-2,-2,-2,-2,-2,-2 
"harpO","ptinod",2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,-2 
"coloR","ptyluc",2,2,2,2,-2,2,-1,-1,-1,-2,-1,-2,-2,-2,-2,-2,-1,-1,-2,1,-2,3,-2,-2 
"flopR","pumcon",-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"alamO","pyrneo",1,1,-2,-2,-2,-2,-1,-1,-1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2 
"tombO","quasta",-1,-1,-1,-2,-2,-1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"saltO","raloob",-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"yumaO","raloyu",-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2 
"selkR","rantar",-2,-2,2,-2,-2,-2,2,2,-2,2,-2,-2,-2,-2,-2,-2,1,-2,-2,3,3,3,3,-2 
"kendO","rhiosc",-2,-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2 
"chapO","rhocha",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"everR","rossoc",-2,-1,-2,-2,-2,-2,-1,-2,-2,-1,-1,-2,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2 
"grpiR","sarore",-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,2,-2,-1,-2,-2,-2,-2,-1,-2,-1,-1,-2 
"pallO","scaalb",2,3,3,3,3,-2,-2,-2,1,-2,-2,-2,1,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2 
"maplO","schhal",-1,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2 
"oahpO","schkaa",-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-1,-2,-2,-1,-2,-2 
"oahpO","schkea",-2,-1,-1,-1,-1,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2,-1,-2,-1,-1,-2,-2,-1,-1,-2 
"kaupO","schspe",2,2,2,2,2,2,2,2,2,2,-2,2,-2,-2,2,2,2,2,2,1,1,1,1,-2 
"delmR","scinig",1,2,2,-2,-2,-2,2,-2,-2,-2,2,2,3,-2,-2,-2,-2,-2,1,-2,-2,-2,3,-2 
"enruO","soldry",1,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hougO","solhou",-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1 
"alabR","spepou",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1 
"caleO","steant",-2,1,1,1,1,-2,1,1,1,-2,1,1,-2,-2,1,-2,-2,-2,-2,-2,-2,1,-2,1 
"kaupO","stecam",2,2,2,2,2,2,2,2,2,2,-2,2,-2,-2,2,2,2,2,2,1,1,1,1,-2 
"mexiO","strocc",-2,2,3,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,3,-2 
"loweO","sylpal",-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2 
"lanaO","tetrem",-1,-1,-1,-2,-2,-1,-2,-2,-1,-2,-2,-1,-1,-2,-2,-2,-2,-1,-1,-2,-2,-1,-1,-1 
"karsO","texred",2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2,2,-2,-2,-2,2,2,2 
"coolO","thacoo",2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2 
"pedaO","theste",-2,2,2,-1,-1,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2,-2,2,2,2,2,-2 
"soccO","thethe",-2,2,2,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2 
"prfeO","theyau",-2,-1,-2,-2,-2,-2,-1,-2,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-1,-2,-1,-2,-2 
"westR","triman",-2,-1,1,-2,1,-2,1,1,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,-2 
"bariO","tritri",-2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"attwR","tymcup",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2 
"grizR","ursarc",3,3,3,3,3,3,3,3,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,3,3,3,3,-2 
"flscR","warcar",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1 
"cachO","xanriv",1,1,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-1,-2 
"flscR","zizcel",1,-2,1,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2 
"edwaR","ziztex",1,1,1,1,1,2,1,1,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,2,2,1,1,-2 
