"PLAN","SPECIES","424VVV","425VVV","426VVV","427VVV","428VVV","429VVV","430VVV","431VVV","432VVV","433VVV","434VVV","435VVV","436VVV","437VVV","438VVV","439VVV"
"largO","abrmac",-2,2,2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2 
"lanaO","abuere",2,-2,-2,2,-2,-2,2,2,2,1,-2,-2,-2,-2,2,-2 
"oahpO","abusan",-2,2,2,-2,-2,-2,1,-2,-2,2,-2,-2,-2,-2,-2,-2 
"prraO","accstr",2,0,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahtO","achlil",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nighO","acrlus",2,2,2,2,2,2,-2,-2,-2,1,-2,2,-2,-2,2,-2 
"sensO","aesvir",0,-2,-2,2,-2,-2,-2,-1,2,1,-2,-1,-2,-2,2,-2 
"dwweO","alahet",2,2,2,2,2,2,2,2,2,2,2,-2,2,2,2,-2 
"maplO","alemac",1,-1,-1,2,-1,-1,0,2,2,1,-1,-2,-2,-1,-1,-2 
"kauaO","alslyc",2,2,2,2,2,2,0,0,0,0,0,0,-2,0,-2,0 
"oahpO","alsobo",-2,0,0,-2,-2,-2,1,-2,-2,2,-2,-2,-2,-2,-2,-2 
"kauaO","alsvis",2,2,2,-2,-2,-2,2,-2,-2,1,1,-2,-2,2,-2,-2 
"prpaO","amavit",2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2 
"ashmO","ambama",-2,-2,-2,2,-2,-2,-2,-2,-1,-1,-2,-2,2,-2,-2,-2 
"ozarR","ambros",-2,1,-1,-2,2,2,2,-2,-1,-2,-2,-2,2,-2,2,-2 
"sonoR","antame",2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"antiR","apomor",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"raveO","archoo",0,-2,-2,-1,-2,-2,2,2,-1,0,0,-1,-2,0,0,-2 
"dwbeO","archum",-2,0,-2,-1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2 
"fourO","arcmor",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,-1 
"maunO","argsan",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,-2,-2 
"anthO","athant",-2,2,-1,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,-2 
"virgR","betube",2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","bongra",-2,2,-2,-2,-2,-2,-2,2,-2,-2,-1,-1,-2,-2,2,-2 
"aleuR","bracan",2,-2,-2,2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,0 
"cavpO","brasan",-2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","briins",-2,2,2,-2,-2,2,-1,-2,-2,2,-2,-2,-2,-1,-2,-2 
"palmO","calriv",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2 
"grayO","canlup",2,-2,-2,2,-2,-2,-2,-2,-1,-1,-2,-1,-2,-1,-2,-2 
"eastR","canlup",2,2,2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2 
"redwR","canruf",2,2,2,2,-1,2,2,-1,-1,-1,-1,-2,-2,-2,-2,2 
"ashmO","cennam",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
"cuiuR","chacuj",2,-2,-2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2 
"pineO","chagar",-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","charoc",1,1,1,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2 
"flogO","chrflo",-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nortO","cicdor",-1,-2,-2,-1,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2 
"maskR","colvir",-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawcO","corhaw",2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"amcrR","croacu",2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"newmO","crowil",-2,-2,-2,-2,-2,-2,-1,2,2,1,-2,-2,-2,-2,2,-2 
"sccyO","cupabr",0,0,0,-2,-2,0,0,2,2,1,0,-2,-2,-2,0,-2 
"moloO","cyaman",-2,0,-1,-2,-2,-1,-2,-2,-2,1,-2,-2,-2,-2,-2,-1 
"biplO","cyashi",2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","cypfor",-2,-2,-2,-1,-2,-2,-2,-2,-1,-2,-2,-2,-1,-2,-1,-2 
"kauaO","cyrcya",2,2,2,-1,-1,-1,-1,-1,-1,1,-1,-2,-2,-1,-2,-2 
"biplO","cyrgif",2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","cyrvir",2,-2,-2,2,-2,-2,2,-2,-2,1,-2,-2,-2,-2,2,-2 
"kirtR","denkir",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flomO","dicchr",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"tennR","echten",2,2,2,-2,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2 
"tarrR","ellste",-2,2,-2,-2,-1,-2,-1,-1,-2,-2,-1,-2,-2,-2,-2,-2 
"cavpO","eryari",-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"antiR","erycap",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","erycun",-2,1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,0,-2 
"seveO","erymen",1,1,1,1,1,1,0,0,0,1,-2,-2,-2,-2,-2,-2 
"threO","eryter",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1 
"slacO","ethbos",-2,-2,2,-1,-2,-1,-2,-1,-1,-1,-2,-2,-2,-1,2,-2 
"edwaR","ethfon",2,-2,-2,2,-2,-2,2,-2,-2,1,-2,-2,-2,-2,-2,-2 
"wateR","ethnuc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"okalO","ethoka",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bayoR","ethrub",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"maryR","ethsel",-2,2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"elseO","eupbat",-2,0,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,2,-2 
"edwaR","eurnan",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"pereO","falper",2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2 
"ampeO","falper",-2,-2,-2,-2,-2,-2,2,2,2,1,-2,2,-2,2,2,2 
"hawwR","fulame",2,2,2,2,2,2,2,2,2,2,-1,-1,2,2,2,-2 
"lanaO","gahlan",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-1,-2 
"hawwR","galchl",2,0,2,2,-2,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","gamgeo",2,-2,-2,-2,-2,-2,2,-1,-1,-1,-2,-2,-2,-2,-2,1 
"hawgO","garbri",2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2 
"unarR","gasacu",-2,-1,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2 
"maplO","gerarb",0,0,0,0,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2 
"humpR","gilcyp",-2,2,-2,-2,-2,-1,-2,-2,-1,2,-2,-2,-2,-2,-2,-2 
"bonyR","gilele",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1 
"chihO","gilnig",-2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,-2 
"fishR","gilpur",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"whooR","gruame",2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"missR","grucan",2,-2,-2,-2,-2,-2,-2,2,2,-2,0,-2,-2,2,-2,-2 
"cacoR","gymcal",1,1,1,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,1,1,-2 
"gnomO","gymlin",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2 
"todsO","hedtod",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","hesarb",-1,-1,-1,-2,-2,-2,-1,-1,-1,-1,-2,-2,-2,-1,-2,-2 
"moloO","hibarn",-2,2,2,-2,-2,-1,-2,-2,-2,1,-2,-2,-2,-2,-2,0 
"kaupO","hibcla",2,2,2,2,2,2,-2,-2,-2,1,-1,-2,-2,-2,-2,-2 
"kauaO","hibwoo",2,2,2,-1,2,2,-1,-1,-1,-1,-1,-1,-2,-2,-1,-1 
"hawwR","himmex",0,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-1,-2 
"flscO","hypcum",-2,-2,-2,-1,-1,-2,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2 
"smalR","isomed",2,2,2,2,2,2,2,2,-1,1,2,-2,-2,-2,2,-2 
"beacO","jacrec",-2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","labcyr",-1,2,2,-1,-1,2,-1,-1,-1,1,-1,-1,-1,-1,-1,-1 
"pinkO","lamabr",-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-1,-2 
"snakO","lanxsp",-2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"caroO","lasdec",-2,2,-2,-2,-2,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2 
"praiO","leslep",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","liaohl",-1,1,-2,-2,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,2,-2 
"kaupO","lipfau",2,2,2,2,2,2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2 
"oahpO","loboah",2,2,2,-1,-1,-1,-2,-2,-2,-1,-2,-2,-2,-1,-2,-2 
"flscR","lupari",-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,2,-2 
"lotiO","lycarg",-2,2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,2,-2 
"roleO","lysasp",-2,0,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"apalO","macalb",-2,-1,-2,-1,-1,-2,2,-2,-2,-2,-2,-2,-2,-2,2,-2 
"mohrO","marmoh",-1,1,-1,-2,-2,-2,2,-1,-1,-2,-2,-2,-2,-2,2,-1 
"kaupO","melpal",2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2 
"oahpO","melsai",2,2,2,2,2,2,2,-1,-1,-3,-1,-1,-2,-1,-1,-2 
"armaO","miccal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2 
"hualO","micmex",-2,-1,-2,-2,-1,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2 
"blacR","musnig",2,2,2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-1 
"kaufO","myapal",2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"woodO","mycame",2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"indiR","myosod",-2,2,2,-2,2,2,-2,0,0,0,-2,-2,-2,-2,2,-2 
"oahpO","nothum",-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"capeO","notmek",-2,2,-1,-2,-2,-2,-2,2,2,-1,-2,-2,-2,-2,-2,-2 
"neosO","notpla",-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2 
"ringO","oboret",2,2,2,2,2,2,2,-2,2,1,-2,-2,-2,-2,-2,-2 
"keydR","odvicl",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"coluR","odvile",1,0,1,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,2,-2 
"antiR","oendel",-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"arizR","oncapa",-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"grcuR","onccla",0,0,0,0,0,0,-2,0,0,0,0,-2,-2,0,-2,-2 
"gilaR","oncgil",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nashR","orcsho",2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1 
"flscR","parcha",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"mamoO","parfla",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bradO","pedbra",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2 
"furbR","pedfur",2,-1,-1,-1,-1,-1,1,1,1,1,-2,-2,-1,-2,2,-2 
"prcrO","pellem",2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"anasO","perpol",2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snaiR","pertan",2,-1,2,-2,-2,2,-1,-2,-2,-2,-2,-2,-2,2,-2,-2 
"lanaO","phygla",-2,2,-2,-2,-2,2,-2,-2,-2,1,-2,-2,-2,-2,-2,2 
"biadO","phyrac",2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"redcR","picbor",-2,-1,-1,-2,-2,-2,-1,-2,-2,-2,-2,-1,-2,-2,-2,-2 
"ropiO","pleple",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"shenO","pleshe",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","poeocc",-2,2,-2,-2,-2,0,-2,-2,1,1,0,-2,2,-2,-2,-2 
"cavpO","pognud",-2,-2,-2,-1,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2 
"flscR","polbas",-2,-1,-2,-2,-2,-2,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2 
"fatpR","potcap",2,2,2,2,2,-2,2,2,-2,-2,-1,-2,-2,-1,-2,-2 
"littO","potcly",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","prugen",-1,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"guamO","ptemar",2,2,2,2,2,2,2,2,2,1,0,0,2,2,2,-2 
"harpO","ptinod",-2,2,-2,-2,2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2 
"coloR","ptyluc",-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flopR","pumcon",-1,-2,-2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2 
"alamO","pyrneo",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"tombO","quasta",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"saltO","raloob",-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2 
"yumaO","raloyu",0,-2,-2,0,-2,-2,-1,-1,-2,-2,-2,2,-2,-2,2,-2 
"selkR","rantar",-2,-2,-2,2,-2,-1,2,2,-2,-2,-2,-2,-2,-2,-2,-2 
"kendO","rhiosc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"chapO","rhocha",-2,-2,2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"everR","rossoc",2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"grpiR","sarore",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
"pallO","scaalb",-1,2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-1,2,2 
"maplO","schhal",2,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-2 
"oahpO","schkaa",2,2,2,-1,-1,-1,-2,-1,-1,2,-2,-2,-2,-2,-2,-2 
"oahpO","schkea",2,2,2,2,2,2,-2,-2,-2,1,-2,-2,-2,-2,-2,-1 
"kaupO","schspe",0,0,0,0,0,0,-1,-1,-1,0,0,-2,-2,0,0,-2 
"delmR","scinig",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2 
"enruO","soldry",2,-2,-2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-2,-1,2,2 
"hougO","solhou",-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"alabR","spepou",0,-2,-2,0,-2,-2,0,0,0,0,0,0,0,0,0,-2 
"caleO","steant",2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","stecam",0,0,0,0,0,0,-1,-1,-1,0,0,-2,-2,0,0,-2 
"mexiO","strocc",-2,-2,-2,-1,-2,-1,-2,2,2,-1,-2,-1,-2,-2,-2,-2 
"loweO","sylpal",2,1,2,-2,-2,-2,-1,2,2,-1,-1,-1,-2,-1,2,2 
"lanaO","tetrem",-2,2,2,-2,-2,2,2,-2,-2,1,-2,-2,-2,-2,-2,-1 
"karsO","texred",-2,-2,-2,-2,-2,-2,0,0,0,0,-2,-2,0,0,0,-2 
"coolO","thacoo",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
"pedaO","theste",-2,0,2,2,0,2,0,0,2,2,-2,-2,-2,2,2,-2 
"soccO","thethe",-2,2,-2,-2,-2,-1,-2,-2,-2,2,-2,-2,2,-2,2,-2 
"prfeO","theyau",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"westR","triman",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bariO","tritri",2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"attwR","tymcup",2,-1,-2,-2,-2,-2,-2,2,0,-2,-2,-2,-2,-2,2,-2 
"grizR","ursarc",-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,1,-2,-1 
"flscR","warcar",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1 
"cachO","xanriv",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","zizcel",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","ziztex",-1,-2,-2,-2,-2,-2,2,2,2,-2,-2,-2,2,-2,2,-2 
