"PLAN","SPECIES","173R","174R","175R","176R","177R","178R","179R","180R","181R","182R","183R","184R","185R","186R","187R","188R","189R","190R","191R","192R","193R","194R","195R","196R","197R","198R","199R","200R","201R","202R","203R","204R","205R","206R","207R","208R","209R","210R","211R","212R","213R","214R","215R","216R","217R","218R","219R","220R","221R","222R","223R","224R","225R","226R","227R","228R","229R","230R","231R"
"wateR","ethnuc",3,3,-2,-2,2,-2,0,0,0,3,0,0,0,-2,-2,-2,-2,-2,-2,-2,3,3,-2,3,-2,-2,-2,-2,3,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-2,3,-2,3,-2,-2,-2,1,-2 
"okalO","ethoka",-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-1,-2,-2 
"bayoR","ethrub",2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"maryR","ethsel",-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,2,2,2,-2,-2,-2,2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"elseO","eupbat",3,3,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2 
"edwaR","eurnan",-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,1,3,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,2,-2,-2,-2,3,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2 
"pereO","falper",-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"ampeO","falper",-2,-2,3,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"hawwR","fulame",2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2 
"lanaO","gahlan",-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawwR","galchl",2,2,-2,2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2 
"edwaR","gamgeo",-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,-2,3,2,-2,-2,-2,2,2,-2,-2,-2,-2,2,-2,-2,2,2,-2,-2,-2,2,-2,2,-2,-2,-2,-2,2,-2,-2,2,-2,-2,-2,-2,3,-2,-2 
"hawgO","garbri",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,3,-2,1,3,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,-1,2,-2,-2 
"unarR","gasacu",-2,3,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,2,1,-2,-2,-2,-2,-2,3,2,2,-2,-2,-2,-2,1,-2,-2,3,3,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2 
"maplO","gerarb",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,2,-2,-2,-2,3,2,-2,-2,-2,-2,-2,2,-2,1,-2,-2,-2,-1,-2,-2,0,-2 
"humpR","gilcyp",-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,3,-1,-1,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,3,-2,-2,-1,-2,-2,1,-2 
"bonyR","gilele",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-1,-2,-2,-2,3,3,-2,-1,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,3,-2,-2,3,-1,3,-2,-2,-2,-2,-2 
"chihO","gilnig",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,3,3,3,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,2,-2,-2 
"fishR","gilpur",-2,-2,-2,-2,-2,2,-2,3,-2,-2,-2,-2,3,-2,-2,-2,3,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,2,-1,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,2,-1,-2,-1,-2,-2 
"whooR","gruame",2,2,2,2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2 
"missR","grucan",1,1,1,1,3,-2,3,-2,3,-2,3,-2,-2,3,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,3,-2,3,-2,2,2,3,2,-2,3,-2,2,2,-2 
"cacoR","gymcal",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,3,-2,3,-2,-2,-2,-1 
"gnomO","gymlin",2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,2 
"todsO","hedtod",0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2 
"oahpO","hesarb",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,0,2 
"moloO","hibarn",-1,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,3,-2,-2,-1,-2 
"kaupO","hibcla",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2 
"kauaO","hibwoo",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-1,-1,-2,-2,3,-2,-2,-2,-1,-2,-2,-2,-2,-1,-2,-1,-2,-2,-2,-2,-1,-2 
"hawwR","himmex",3,3,0,3,3,3,0,3,0,0,0,3,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0 
"flscO","hypcum",1,1,-2,-2,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,2,2,-2,1,-2,-2,-2,-2,-2,-2 
"smalR","isomed",-1,-1,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"beacO","jacrec",3,3,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,3,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,3,2,2,-2,-2,-2,-2,2,2,-2 
"oahpO","labcyr",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,3,-2,-2,-1,-2 
"pinkO","lamabr",-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,3,2,2,-2,-2,3,-2,2,2,-2,-2,-2,-2,2,-2,3,3,-2,-2,-2,3,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,3,-2,-2,-2,-2,-2 
"snakO","lanxsp",-2,-2,-2,3,-2,-2,-2,2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-1,-2,3,2,-2,2,-2,-2,3,2,2,-2,-2,-2,-2,2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2 
"caroO","lasdec",-2,-1,-2,-2,-1,3,-2,-2,-2,-2,-2,-2,3,-2,-1,-2,-2,-2,1,-1,3,-2,-2,-2,-2,-1,-2,3,2,-2,-2,-2,-2,2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"praiO","leslep",2,-2,2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,3,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,3,3,-2,2,-2,-2,-2,-2,-2,-2 
"flscR","liaohl",-1,-1,-2,3,3,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,3,-2,-2,-2,2 
"kaupO","lipfau",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","loboah",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,2,2 
"flscR","lupari",3,3,3,-2,3,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,2,-2,0,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2 
"lotiO","lycarg",-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-1,-2,-2,-2,-2,3,2,-2,3 
"roleO","lysasp",3,3,-2,-2,3,-2,-2,-2,-2,-2,2,-2,2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,2,-2,-1,-2,-2,-2,-2,2 
"apalO","macalb",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,3,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2 
"mohrO","marmoh",-2,-2,-2,2,2,-2,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-1,3,3,-2,-2,-2,-2,-2,2 
"kaupO","melpal",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,3,-2,-2,3,-2,-2,-2,-2,-2,2,-2,-2,-2,3,-2,-2,2,-2 
"oahpO","melsai",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,3,-2,-2,3,-2 
"armaO","miccal",3,3,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,2,2,3,-2,-2,-2,2,-2,-2 
"hualO","micmex",-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,3,-2,-2,2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,3,-2,-2,-1,-2,-2,-2,-2,-2,-1,3,-2,-1,-1,3,2,-2,-1 
"blacR","musnig",-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,2,-2 
"kaufO","myapal",-2,3,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,3,3,-1,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-1,-1,-1,-2,-1,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-1,-2,-2,-2,-1 
"woodO","mycame",-2,3,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,0,2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2 
"indiR","myosod",-2,-2,-2,-2,-2,2,-2,3,-2,-2,-2,-2,-2,2,2,-2,-2,-2,2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,2,-2,2,2,2,-2 
"oahpO","nothum",-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-1,-2 
"capeO","notmek",-2,-2,-2,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-1,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-1,-2 
"neosO","notpla",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,2,-2,-2 
"ringO","oboret",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,3,-1,-2,3,-2,-2,-2,-2,2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2 
"keydR","odvicl",3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"coluR","odvile",3,3,3,-2,2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,3,2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,2,2,3,-2,3,2,2,3,2,3,-2,2,-2,1,-2,-2 
"antiR","oendel",-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,2 
