"PLAN","SPECIES","173R","174R","175R","176R","177R","178R","179R","180R","181R","182R","183R","184R","185R","186R","187R","188R","189R","190R","191R","192R","193R","194R","195R","196R","197R","198R","199R","200R","201R","202R","203R","204R","205R","206R","207R","208R","209R","210R","211R","212R","213R","214R","215R","216R","217R","218R","219R","220R","221R","222R","223R","224R","225R","226R","227R","228R","229R","230R","231R"
"arizR","oncapa",-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,-1,-1,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-1,-2,-2,-2,-2,-1,-2,-2,3,3,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,3,-2,-2,-2,-2 
"grcuR","onccla",-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-2,-2,-1,-1,-2,-1,-1,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"gilaR","oncgil",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2 
"nashR","orcsho",3,3,-2,-2,-1,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2 
"flscR","parcha",3,3,3,-2,3,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,2 
"mamoO","parfla",0,0,0,0,0,-2,0,0,0,-2,-2,-2,1,0,0,0,3,0,0,-2,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,-2,0,2,0,3,3,3,-2,0,0,0,0,0,-2,0,2,0,2,-2,0,0,0,0,-2 
"bradO","pedbra",-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,-2,2,-2,3 
"furbR","pedfur",3,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,3,-2,-2,-2,-2,3,-2,2 
"prcrO","pellem",1,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,-2,-2 
"anasO","perpol",3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snaiR","pertan",-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,3,-2,2,-2,-2,2,-2,2,3,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2 
"lanaO","phygla",2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-1,-2,3,3,-2,-2,-2,-2,-2,-1,-2,-1,-2,-2,-2,3,-2,-1,2,3 
"biadO","phyrac",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2 
"redcR","picbor",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,2,-2,-2,-2,3,3,-2,-2,2,-2 
"ropiO","pleple",-1,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-2,-1,-2,-2,-1,-2,-1,-2,-2,-1,-2,-1,-1,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2 
"shenO","pleshe",-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,3,3,-2,-2,-2,-2,-2,-2,3,-2,3,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","poeocc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,3,-2,-2,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2 
"cavpO","pognud",2,2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,2,-2,2,2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,-2,-2,2,2,-2,-2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,2,2,2,-2,3,-2,2,2,-2 
"flscR","polbas",3,3,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0 
"fatpR","potcap",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2 
"littO","potcly",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,3,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,2,-2,-2,3,-2,-2,-2,3,-2,-1,3,-2,3,-2,-2 
"flscR","prugen",3,3,-2,-2,3,3,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,3,-2,-2,-2,-2,-2,-2 
"guamO","ptemar",-2,3,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,1,-2,-2 
"harpO","ptinod",-2,-2,1,-2,-2,-2,3,-2,-2,-2,3,-2,-2,2,3,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,2,3,3,-2,-2,-2,-2,3,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,2,-2,-2,2,-2,-2,-2,-1,-1,-1,-2 
"coloR","ptyluc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,2,3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2 
"flopR","pumcon",3,3,3,3,3,-2,-2,-2,-2,-2,-2,-2,3,-2,-1,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-1 
"alamO","pyrneo",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-1,-2,-2,3,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-1,-1 
"tombO","quasta",-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,2,-2,-2,2,3,-2,3,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,3 
"saltO","raloob",3,-2,-2,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,2,-2,1,2,2,-2,-2,-2,-2,2,-2,1,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,2,-2,3 
"yumaO","raloyu",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-1,-2,3,-2,-2,2,-2,3,-2,-2,-2,-2,2,-2,-2 
"selkR","rantar",-2,-2,-2,-2,3,-2,-2,-2,-2,-2,3,-2,-2,3,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,3,-2,-2,-2,3,-2,3,-2,-2,-2,-2 
"kendO","rhiosc",-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"chapO","rhocha",-2,-2,-2,-2,-2,1,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,3,3,3,-2,-2,-2,-2,-2,-2,-2 
"everR","rossoc",-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,3,-2,3,-2,3,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,3,-2,-2,-2,-2,3,-2,-2,-1,-2,2,-2,-2 
"grpiR","sarore",0,-2,3,3,3,-2,3,3,3,3,3,-2,-2,-2,-2,-2,3,-2,3,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,3,3,3,-2,-2,-2,-2,-2,-2 
"pallO","scaalb",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,3,-2,3,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,2,-2,3,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,3 
"maplO","schhal",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,2,-2,-2,2,-2 
"oahpO","schkaa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,3,0,0,2,0 
"oahpO","schkea",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,2,-2,-2,-2,-1,-2,-2,3,-2 
"kaupO","schspe",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2 
"delmR","scinig",3,3,-2,-2,3,-2,3,-2,-2,-2,-2,-2,2,3,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,-2,-2,-2,-2,-2,3,3,2,-2,-2,-2,3,-2,-2,2,-2,-2,-2,-2,-2,2 
"enruO","soldry",3,3,2,3,3,-2,2,-2,-2,-2,-2,-2,2,3,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,3,-2,-2,-2,-2,-2,-2 
"hougO","solhou",-2,3,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,3,-2,-2,-2,-2,-2 
"alabR","spepou",-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-1,-2,-2,-2,-1,-1,-2,-2,-2,-1,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2 
"caleO","steant",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,2,-2,-2,3,-2,-2,-2,-2,2,-2,-2 
"kaupO","stecam",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2 
"mexiO","strocc",-2,3,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,2,-1,-1,3,-2,-2,2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,2,3,2,3,-2,-2,2,-2,-2,-2,-2,-2,-2,2,-2 
"loweO","sylpal",2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2 
"lanaO","tetrem",2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,3,2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,3,-2,2,1,2 
"karsO","texred",2,2,2,2,2,-2,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,3,-2,3,-2,-2,-2,-2,2,-2,-2,-2,-2,-1,-2,-2,-2,2,-2,-2,-2,3,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"coolO","thacoo",0,2,2,2,2,2,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0 
"pedaO","theste",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0 
"soccO","thethe",-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,0,3,-2,0,-2,-2,-2,-2,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,3,3,2 
"prfeO","theyau",-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2 
"westR","triman",-2,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,-2,2,-2,-2,2,-2,-1,-1,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,2,2,2 
"bariO","tritri",-2,3,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2 
"attwR","tymcup",3,3,-2,-2,3,-2,2,2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2,-2,-2,2,2,-2,-2,2,-2,3,-2,-2,-2,-2,2,-2,2,2,-2 
"grizR","ursarc",-2,-2,1,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,2,1,1,3,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,3,3,-2,2,2 
"flscR","warcar",3,3,-2,-2,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2 
"cachO","xanriv",-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,3,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,2 
"flscR","zizcel",2,2,-2,-2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,3,-2,-2,-2,-2 
"edwaR","ziztex",3,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,3,3,3,3,-2,-2,-2,2,3,-2,2,-2,2,3,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2 
